Team,District Points,Alliance Points,Elimination Points,Qualification Points,Award Points,Qualification Win %,Top Qualification Rank,Top Alliance Seed,Top Alliance Pick,Playoff Level,Top Ranking Score,Top Cumulative Auto,Top Cumulative Endgame,Top Cumulative Teleop
frc2609,55,15,20,20,0,0.6666666666666666,3,2,0,1,1.58,354.0,600.0,366.0
frc865,78,16,30,22,10,0.8333333333333334,1,1,0,1,2.08,406.0,645.0,345.0
frc3683,76,15,30,21,10,0.9166666666666666,2,2,0,1,2.16,363.0,465.0,518.0
frc188,73,16,30,22,5,0.9166666666666666,1,1,0,1,2.16,514.0,585.0,510.0
frc2200,72,16,30,21,5,0.75,2,1,1,1,1.91,398.0,650.0,597.0
frc1325,72,16,30,21,5,0.75,2,1,1,1,2.0,380.0,675.0,329.0
frc5024,66,16,20,22,8,0.9166666666666666,1,1,0,1,2.16,425.0,550.0,332.0
frc1114,65,15,30,15,5,0.5833333333333334,10,2,1,1,1.25,497.0,300.0,297.0
frc4519,60,16,20,19,5,0.75,3,1,1,1,1.75,441.0,505.0,382.0
frc8089,45,1,30,9,5,0.4166666666666667,29,1,2,1,0.83,227.0,345.0,208.0
frc4015,51,11,20,15,5,0.6666666666666666,9,6,0,1,1.41,361.0,355.0,232.0
frc4946,51,14,10,19,8,0.5833333333333334,4,3,0,2,1.58,300.0,495.0,424.0
frc4976,50,15,20,15,0,0.5833333333333334,13,2,1,1,1.33,380.0,455.0,386.0
frc7558,44,13,10,16,5,0.5833333333333334,8,4,1,2,1.41,382.0,495.0,396.0
frc4525,48,15,10,15,8,0.5833333333333334,10,2,1,2,1.33,389.0,490.0,237.0
frc5834,48,14,10,19,5,0.6666666666666666,4,3,0,2,1.66,380.0,500.0,281.0
frc4039,48,13,10,15,10,0.5833333333333334,12,4,1,2,1.33,390.0,480.0,419.0
frc4476,47,14,10,18,5,0.75,6,3,1,2,1.5,385.0,390.0,455.0
frc610,46,13,10,18,5,0.6666666666666666,5,4,0,2,1.5,509.0,460.0,455.0
frc1285,46,13,10,18,5,0.75,5,4,0,2,1.58,387.0,315.0,377.0
frc1374,39,6,20,8,5,0.4166666666666667,24,6,2,1,0.91,326.0,355.0,131.0
frc1241,45,14,10,16,5,0.5833333333333334,7,3,1,2,1.41,404.0,360.0,317.0
frc781,43,11,20,12,0,0.3333333333333333,17,6,1,1,1.0,319.0,405.0,228.0
frc8081,33,9,0,16,8,0.5833333333333334,10,8,0,3,1.41,271.0,530.0,195.0
frc1360,40,12,10,13,5,0.4166666666666667,15,5,1,2,1.08,321.0,390.0,310.0
frc7480,35,10,0,15,10,0.5833333333333334,11,7,1,3,1.33,418.0,370.0,301.0
frc6544,38,5,10,13,10,0.4166666666666667,14,5,2,2,1.16,292.0,530.0,221.0
frc6859,36,1,30,5,0,0.25,28,1,2,1,0.75,285.0,355.0,243.0
frc5409,36,14,0,17,5,0.5833333333333334,6,3,1,3,1.5,475.0,495.0,336.0
frc7614,23,9,0,14,0,0.5,12,8,0,3,1.25,287.0,340.0,224.0
frc7603,29,2,20,7,0,0.25,32,2,2,1,0.66,287.0,400.0,321.0
frc4152,34,13,0,16,5,0.5833333333333334,8,4,1,3,1.41,454.0,495.0,239.0
frc6867,34,12,0,17,5,0.6666666666666666,7,5,0,3,1.41,376.0,355.0,215.0
frc7475,29,12,0,17,0,0.5833333333333334,6,5,0,3,1.5,305.0,480.0,206.0
frc4903,33,14,0,19,0,0.75,4,3,0,3,1.75,402.0,490.0,187.0
frc4907,33,11,0,17,5,0.5833333333333334,8,6,0,3,1.41,369.0,500.0,248.0
frc4343,32,12,0,15,5,0.6666666666666666,9,5,1,3,1.41,317.0,275.0,332.0
frc6336,31,13,0,18,0,0.6666666666666666,5,4,0,3,1.66,369.0,570.0,175.0
frc2994,31,12,0,14,5,0.5833333333333334,14,5,1,3,1.33,353.0,520.0,362.0
frc5032,30,1,20,9,0,0.3333333333333333,22,1,2,1,0.75,263.0,320.0,222.0
frc5885,29,11,0,13,5,0.3333333333333333,17,6,1,3,1.08,399.0,565.0,223.0
frc7623,23,10,0,13,0,0.5,13,7,0,3,1.16,299.0,350.0,230.0
frc8072,18,6,0,12,0,0.5,21,6,2,3,1.08,289.0,445.0,216.0
frc6135,26,10,0,16,0,0.5833333333333334,9,7,0,3,1.41,338.0,530.0,270.0
frc6009,26,10,0,11,5,0.4166666666666667,19,7,1,3,0.83,352.0,265.0,308.0
frc746,25,11,0,14,0,0.5,12,6,1,3,1.16,370.0,435.0,225.0
frc6481,25,10,0,15,0,0.5833333333333334,11,7,0,3,1.33,333.0,460.0,213.0
frc6323,24,4,10,10,0,0.4166666666666667,25,4,2,2,0.91,367.0,370.0,247.0
frc6978,24,7,0,12,5,0.5,15,7,2,3,1.0,415.0,270.0,208.0
frc2386,23,4,10,9,0,0.3333333333333333,23,4,2,2,0.66,314.0,285.0,207.0
frc2198,23,3,10,10,0,0.3333333333333333,20,3,2,2,0.83,292.0,315.0,200.0
frc6140,23,3,10,10,0,0.3333333333333333,26,3,2,2,0.91,227.0,345.0,202.0
frc7664,18,2,10,6,0,0.25,27,2,2,2,0.75,312.0,445.0,180.0
frc907,23,9,0,14,0,0.5833333333333334,15,8,1,3,1.25,315.0,315.0,265.0
frc7456,18,3,0,10,5,0.4166666666666667,22,3,2,3,0.91,356.0,390.0,213.0
frc7200,22,10,0,12,0,0.4166666666666667,16,7,1,3,1.08,277.0,430.0,188.0
frc3560,22,9,0,13,0,0.5,14,8,0,3,1.08,257.0,340.0,242.0
frc7735,17,5,0,12,0,0.4166666666666667,20,5,2,3,1.08,327.0,465.0,262.0
frc4308,21,9,0,12,0,0.4166666666666667,16,8,1,3,1.0,347.0,400.0,189.0
frc5672,21,7,0,14,0,0.5,13,7,2,3,1.16,303.0,345.0,192.0
frc854,20,9,0,11,0,0.3333333333333333,18,8,1,3,1.0,301.0,535.0,206.0
frc3161,19,8,0,11,0,0.3333333333333333,22,8,2,3,1.0,383.0,465.0,290.0
frc2852,19,8,0,11,0,0.3333333333333333,18,8,2,3,0.91,397.0,335.0,156.0
frc6513,19,8,0,11,0,0.4166666666666667,19,8,2,3,0.91,404.0,350.0,208.0
frc6110,19,7,0,12,0,0.5,19,7,2,3,1.08,339.0,445.0,255.0
frc6864,19,4,0,10,5,0.4166666666666667,20,4,2,3,0.91,363.0,335.0,239.0
frc7564,14,0,0,14,0,0.5,16,0.0,0.0,0.0,1.16,304.0,440.0,237.0
frc6977,18,6,0,12,0,0.5,17,6,2,3,1.0,325.0,250.0,278.0
frc6878,18,5,0,8,5,0.3333333333333333,24,5,2,3,0.66,296.0,255.0,298.0
frc7902,13,0,0,13,0,0.5,18,0.0,0.0,0.0,1.08,363.0,345.0,240.0
frc7800,12,0,0,7,5,0.25,33,0.0,0.0,0.0,0.66,257.0,380.0,191.0
frc7757,10,0,0,10,0,0.3333333333333333,21,0.0,0.0,0.0,0.91,361.0,445.0,181.0
frc7721,9,0,0,9,0,0.3333333333333333,28,0.0,0.0,0.0,0.83,284.0,385.0,219.0
frc4936,13,0,0,8,5,0.4166666666666667,25,0.0,0.0,0.0,0.91,311.0,375.0,240.0
frc5036,11,0,0,11,0,0.5,24,0.0,0.0,0.0,1.0,285.0,365.0,273.0
frc6875,11,0,0,11,0,0.5,23,0.0,0.0,0.0,1.0,308.0,420.0,223.0
frc7690,6,0,0,6,0,0.3333333333333333,26,0.0,0.0,0.0,0.66,233.0,260.0,148.0
frc6987,10,0,0,10,0,0.3333333333333333,27,0.0,0.0,0.0,0.91,205.0,380.0,191.0
frc5031,10,0,0,10,0,0.3333333333333333,21,0.0,0.0,0.0,0.75,311.0,265.0,204.0
frc3739,10,0,0,5,5,0.25,35,0.0,0.0,0.0,0.58,268.0,290.0,227.0
frc2935,9,0,0,9,0,0.4166666666666667,23,0.0,0.0,0.0,0.91,352.0,310.0,244.0
frc6865,9,0,0,4,5,0.25,29,0.0,0.0,0.0,0.58,287.0,400.0,200.0
frc6141,8,0,0,8,0,0.3333333333333333,31,0.0,0.0,0.0,0.66,304.0,295.0,181.0
frc5408,7,0,0,7,0,0.4166666666666667,26,0.0,0.0,0.0,0.91,303.0,365.0,198.0
frc3571,6,0,0,6,0,0.25,27,0.0,0.0,0.0,0.5,298.0,245.0,145.0
frc6514,4,0,0,4,0,0.25,36,0.0,0.0,0.0,0.58,263.0,350.0,179.0
frc4618,4,0,0,4,0,0.25,28,0.0,0.0,0.0,0.5,216.0,260.0,199.0
